Athlete_Key,Name,Sex,Age,Height,Weight,Team,NOC,Region_Country,Age_Group
40197,Rika Cristiano Dos Santos,F,20.0,172.0,55.0,BRAZIL,BRA,Brazil,20-25
40198,Rika Cristiano Dos Santos,F,24.0,172.0,55.0,BRAZIL,BRA,Brazil,20-25
40199,Rika Cristiano Dos Santos,F,28.0,172.0,55.0,BRAZIL,BRA,Brazil,26-30
40200,Rika Cristina De Souza,F,22.0,196.0,92.0,BRAZIL,BRA,Brazil,20-25
40201,Rika Cristina De Souza,F,30.0,196.0,92.0,BRAZIL,BRA,Brazil,26-30
40202,Rika Cristina De Souza,F,34.0,196.0,92.0,BRAZIL,BRA,Brazil,30+
40203,Rika Durn Miranda,F,21.0,175.0,70.0,MEXICO,MEX,Mexico,20-25
40204,Rikhardos Brousalis,M,25.0,175.0,70.0,GREECE,GRE,Greece,20-25
40205,Rikkert Faneyte,M,31.0,185.0,78.0,NETHERLANDS,NED,Netherlands,30+
40206,Riley Fitzsimmons,M,20.0,192.0,93.0,AUSTRALIA,AUS,Australia,20-25
40207,Rilus Eastman Doolittle,M,24.0,168.0,70.0,UNITED STATES,USA,USA,20-25
40208,Rina Bjarnason,F,36.0,175.0,59.0,AUSTRALIA,AUS,Australia,30+
40209,Rinaldo Capuzzi,M,25.0,175.0,70.0,ITALY,ITA,Italy,20-25
40210,Rinaldo Castellenghi,M,17.0,175.0,70.0,ITALY,ITA,Italy,<20
40211,Rinat Fayzrakhmanovich Dasayev,M,23.0,190.0,74.0,SOVIET UNION,URS,Russia,20-25
40212,Rino De Candido,M,22.0,183.0,76.0,ITALY,ITA,Italy,20-25
40213,Risto Antero Ankio,M,27.0,185.0,75.0,FINLAND,FIN,Finland,26-30
40214,Risto Darlev,M,18.0,161.0,57.0,YUGOSLAVIA,YUG,Serbia,<20
40215,Risto Darlev,M,21.0,161.0,57.0,YUGOSLAVIA,YUG,Serbia,20-25
40216,Risto Uolevi Bjrlin,M,19.0,170.0,58.5,FINLAND,FIN,Finland,<20
40217,Risto Uolevi Bjrlin,M,23.0,170.0,58.5,FINLAND,FIN,Finland,20-25
40218,Risto Uolevi Bjrlin,M,27.0,170.0,58.5,FINLAND,FIN,Finland,26-30
